,text,label
0,والله شايفيتلك الناس كلها صاير عندها اكتئاب لازم يفكو الحظر بكفي,1
1,اكيد اكتئاب بعد العصر ما في زيه بس ان شاء الله العيد دا غير اشوف عمل تطوعي ولا خير اعمله في الوقت دا ⁦⁩,1
2,والله ما أنا عارف هو اكتئاب ولا انطفاء ولا نضج ولا وحدة ولا توحد ولا,1
3,اصبروا داخله في حاله اكتئاب ,1
4,هذا اكتئاب ولا,1
5,حزينه ل ابعد درجه اول مسلسل اصيح على هالكثر وما ابغاه يخلص تكفون مو مستعده اودعهم انا داخله اكتئاب ,1
6,أنا لو اتعرضت علي دكتور نفسي هجبله اكتئاب بجد مش بهزر,1
7,ماعدت أعرف هو اكتئاب والا انطفاء ولا نضج,1
8, هذا اول اكتئاب جاني,1
9,جاني اكتئاب اول ما شفته,1
10,واله الواحد مايدري هو اكتئاب ولا انطفاء ولا نضج ولا انعدام الشغف ولا تخلف ولا حالة نفسية,1
11,"جت فى وقتها اقسم باله
أنا الحزن بيقتلنى بالبطىء 
وبقيت فحالة اكتئاب حاد ",1
12,اكتئاب,1
13,الجو بيعطي شحنات اكتئاب ولا كيف,1
14,بعد اكتئاب فوق السنة ومحد داري عني لا ام لا اب لا اخ لا اخت لاصديق ولا أي بشر بعد ٧٠ طعنة و٥٠ تنازل,1
15,جاني اكتئاب من وراهم,1
16,و كل صورة وكل أغنية وكل مكان يذكرني فيه يحترق قلبي عليه وأقول يا ليت لو يمديني ارجع لسنه او سنتين عشان اعدل كل شيء,1
17, دقيقة يجيبوا اكتئاب واله بيعدوا علي قلبي كأنهم سنة,1
18,طبعاً حيواني الاليف لانهم مضادات اكتئاب اما العريس مسببلي لاكتئاب ,1
19,عالأغلب اكتئاب,1
20,الحمدله على نعمة اكتئاب كل عيد,1
21,تغريدات الامطار بدت تجيبلي اكتئاب ,1
22,تبلد أو ربما إكتئاب هادئ أحدهما بي,1
23,اكتئاب المشكلة ,1
24,موجة اكتئاب قادمه,1
25,الجو ده يجيب إكتئاب بجد,1
26,التويكستور جابلي اكتئاب,1
27,جاني اكتئاب من البروفايل بس مو راضيه تغير الصوره ,1
28,زمان ف ٣ ثانوي بعد امتحان ما قعدت اعيط من كتر الضغط جت هي قعدت جنبي وقعدت تعيط من غير م تقولي ف اي تلقائي بطلت عياط,1
29,وربي يحزن احسني ما امزح بدخل اكتئاب,1
30,ماذا بعد الجامعه اكتئاب يكتم دين ام امك وضغط الشغل يعادل ضغط  جامعه,1
31,اكتئاب من الفارساد الي حتى الدامجوم احلى منهم,1
32,خلصتمن هنا وجالي اكتئاب من هنا,1
33,اكتئاب بدري اوي,1
34,انا ليه حطيت الزق ذا صرت كل مادخل حسابي واشوفه يجيني اكتئاب,1
35,استراحة محارب ولا اكتئاب,1
36,كوفيد  دا جابلي اكتئاب واله خلاني خايفة من كل حاجة,1
37,شكلي داخله ع فتره إكتئاب هتاخد وقت,1
38,بموت اكتئاب كيف بقدر اتقبل اني اودع حيوانات حبيتهم ,1
39,نفسيتي قرف اكتئاب كل شوي ,1
40,"نكتئب ع البحر
اكتئاب",1
41,احس جاني اكتئاب وماقدرت اكملة ,1
42,ياساتر جاي لي اكتئاب من التيزر بس,1
43,سلطان مب فاضيلك حالياً انا في حالة إكتئاب ,1
44,ماقدرت اكمله دخلت اكتئاب بسبه,1
45,مو جايب لي اكتئاب الا ذا الحساب,1
46,اكتئاب ,1
47,ما عجبني جوجوتسو ما ادري هو نضج ولا أحب أكون عكس التيار او فيني إكتئاب حاد أحترت ,1
48,بقى برا مزاجي حلو اول ما ادخل البيت بنصاب بنوبة اكتئاب ,1
49,قاعده اتهرب من غرفتي لو دخلتها بتجيني نوبه اكتئاب,1
50,موجة اكتئاب شديد ع الطريق ,1
51,اكتئاب ف اعلى ليفل,1
52,اكتئاب ولا تحرش,1
53,اكتئاب ولا انطفاء,1
54,اكتئاب رمضان,1
55,انا مش اد اكتئاب الحظر دا تاني,1
56,اعتقد انه اكتئاب,1
57,اهخ ايحزن حاشني اكتئاب,1
58,مكنش عظيم انا مبتفرجش عالمسلسل و مشفتش غير المقطع ده على يوتيوب و جالي اكتئاب من ساعتها شديد جدا,1
59,فكرة انه بكرا احد و دوام لحالها بتعمل اكتئاب,1
60,عندي إكتئاب محتاجه اسند راسي على شباك طياره,1
61,كيف اشوف نفسي حلو او على الأقل مقبول ما اقدر افتح الكاميرا واحاول اتصور بدون ما يجيني اكتئاب,1
62,مش عايزة لسه لا الهدوء ده اكتئاب ,1
63,تويتر صاير يضيق الخلق ولا أنا صاكني إكتئاب,1
64,بيجيني اكتئاب من مسلسل إخوتي,1
65,اكثر نومه تسب اكتئاب واصحى منها كاره الحياة ,1
66,الموضوع بدأ يسبب إكتئاب,1
67,اخلاقي ذي الأيام  يا رب يخلص رمضان بسرعه قبل ادخل في اكتئاب شديد,1
68,توي أفتكرت إن من قبل لا أتخرج عندي إكتئاب يعني كأنك يابو زيد ماغزيت الفشل بالصحة النفسية ,1
69,"واله الواحد ماعاد يعرف هو إكتئاب ولا نضج
ولا برود ولا إنعدام شغف ولا فترة وتعدي
ولا دبلت تسبد ولا كلهم مع بعض",1
70,إكتئاب على البحر ⁦⁩,1
71,تخيل امك تحمل فيك ٩ شهور يعني  اسبوع و يوم و ساعه و  دقيقه و ثانيه و بالنهايه يجيك اكتئاب,1
72,الواحد لما بقعد لوحدي بفتكر سنه ٢٠١٩ لان مكنتش لوحدي كانت اختي بتشاركني كل حاجه فرحتنا و زعلنا و الكلام و كل حاجه ,1
73,وقت الكئابه مره اكتئاب ابي مجله جيمين هذي طيب,1
74,واله الواحد مايدري هو اكتئاب ولا انطفاء ولا نضج ولا انعدام الشغف ولا تخلف ولا حاله نفسيه,1
75,قعد أشوف وايد ناس تمر بحالة يأس و اكتئاب و خوف من الأوضاع في البلد و في العالم بأكمله هذه الأيام عنصرية منتشرة جر,1
76,"أنا في الشغل انا اتخنقت بجد عايزة اجازة مش قادرة اكمل 
أنا في الإجازة انا جالي اكتئاب خلاص عايزة انزل مش قادرة اقعد في البيت",1
77,كل ما اتذكر ان العيد قرب يجيني اكتئاب,1
78,جاني اكتىاب,1
79,إكتئاب وضرر نفسي,1
80,بيجيله اكتئاب لما يستحمي مبيحبش النضافه ,1
81,اكتئاب ,1
82,اكتئاب ليفل مليون,1
83,لا منجد انا لما تشوفوني قاعده فغرفتي وهي مو مرتبه وحايسه اعرفو انو حاليا معايا اكتئاب شديد,1
84,رسميا اقدر اقول دخلت مرحلة اكتئاب الاختبار,1
85,فيديوهات المصريات هذي الي تمحور حول الشغل والمطبخ تجيب لي اكتئاب وكره لحياة وربي مابالغ لدرجة اخذت عهد ع نفسي ان ما اشوفها,1
86,خف تنمر عالروت عشان عنده اكتئاب حاد,1
87,اكبر كذاب الي قال الاطفال مصدر سعاده اختي البزر بتدخلني في اكتئاب حاد من قوة النكد,1
88,صح اكتئاب بس اذا كل البيت طالع فله,1
89,قعدة البيت اكتئاب,1
90,جروب الدفعة او جروب السكشن كفيلين يجيبولي اكتئاب بقية سنين دراستي في الطب ,1
91,في اكتئاب بسبك اعمل اي بحبك ,1
92,عادي بس فيه اكتئاب لدرجة مش طبيعية,1
93,قنبلة اكتئاب,1
94,توني جالسه في اكتئاب عشانه بيخلص,1
95,محد قالي ان عمر العشرينات يجيك معاه جعطه اكتئاب مجاناً,1
96,اكيد اكتئاب مزمن,1
97,النهاية سبت لي اكتئاب مؤقت,1
98,يا رجال افقد الشغف ولا يجني اكتئاب الله يشفي مرضانا ومرضى المسلمين اجمعين,1
99,ياله لما الحين ملازمني اكتئاب الخريجة,1
100,سويلي وطرشيلي داخله ف اكتئاب بسبه امتحان اليوم,1
101,اكتئاب وضيقة يوم السبت حتى بالاجازة ملاحقتنا ,1
102,هو انا مش في علوم بس كل محاضراتي فيها واحب اقول ان المظاهر خداعه والكليه دي بتجيب اكتئاب وشكرا,1
103,هما سبب اكتئاب فعلا بس مش كل الوقت ,1
104,جابو لي اكتئاب من درجاتي بس الحمدله اني اخر ترم,1
105,تجيب لي اكتئاب والله,1
106, مشاكل نفسية اكتئاب توتراضطراب ما بعد الصدمة,1
107,وربي كنت بموت اكتئاب ولما قالو صرت اسعد انسان,1
108,وانا كلما رسمت جاني اكتئاب عشان الرسمه تندمج مع الوقت ويروح تعبي بالتفاصيل خساره,1
109,ياناس فيه كثير اوهموهم القراء والي يسون رقيه ان عنده حسد وسحروبالاخير اكتشف انه مرض نفسي,1
110,اكتئاب مابعد الناس الجديدة الي بتايم لاين,1
111,مسلسل الطاوس ده جابلى اكتئاب,1
112,واله من اصعب الاشياء الي مريت فيها بحياتي اني قاعد اتعامل مع شخص احبه واشوفه كله يوم يمر في اكتئاب قوي,1
113,الواحد لما بيشوف مقاطع الطبخ وشكل الطبخات ومنظر الأكل بيصيبه اكتئاب اكتر من اكتئاب الجوع والمل,1
114,ليه ابقي في حالة إكتئاب مايعلم بيها الا ربنا والاقي واحدة أخر مرة قالتلي ازيك كانت من بتاع سنين مثلا ألاقيها داخل تنكد عليا,1
115,احب مون لوفيرز مرا واخ فيني اكتئاب عشان النهايه خايسه دايما اشوف النهايه اذا بصيح,1
116,اكتئاب من الحظر ,1
117,إذا الشخص انصاب بمرض روحي من مده طويله يصيبه اكتئاب وغيره من الأعراض واذا تعالج بالبرنامج العلا,1
118,ماعرف بس عندنا اكتئاب الي نايم والي توه صاحي مافيه حياة تحسين,1
119,اي كنت امارسها لان عندي اكتئاب بس زادتني هم,1
120,الي جاله اكتئاب من اناشيدهم يصف جنبي  ياعلي,1
121,شعور اكتئاب,1
122,اكتئاب السبت مقرف جدا,1
123,واله الوحده ماسارت تدري هوا اكتئاب ولا انطفاء ولا نضج ولا انعدام الشغف ولا حالة نفسيه الي فيها,1
124,لا بأس ب نوبه إكتئاب صغيرة ,1
125,متلازمة اكتئاب ليلة العيد وتذكر أيام الطفولة والواحد كان بيعمل ايه,1
126,الي جاله اكتئاب يصف جنبي ,1
127,"العبة ذي احسها اكتئاب

الكاتب احسه مريض نفسي
حابس الشعب في مدينه او غرفه ولا يشوفون شيء و مدري وش وضع",1
128,فكرة انّي رح أبلش أداوم من بكرا  أيام بالاسبوع لحالها جايبيتلي ألف نوع اكتئاب,1
129,كثرة الخيبات أجبرتني على عزلة الناس,1
130,عُزلة عن كل البشر,1
131,احتاج عزله برفقة الذات بالغة الهدوء,1
132,تلزمنا عزله,1
133,والله احتاج عزله مع نفسي اجدد طاقتي وامحي ناس من حياتي واضيف ناس والا اقول مايحتاج اضافه,1
134,عزلة وذكريات وكورونا يا دمار القلب,1
135,عزله بجد,1
136,نحتاج عُزله مع الشخص المناسب,1
137,لا والله احتاج عزله مع نفسي,1
138,عُزله وصمت صحيح وهروب من الواقع مشادة مع الام وتوتر بالعلاقه,1
139,عزله يارهامي عزله ,1
140,عزلة وصمت فعلا وقاعده اسكت وابتعد لاني تعبت وجاني مبلغ مالي من خالو فعلاً وطاقة امي ثقيله علي وضاغطتني,1
141,مع نفسي عشان تكون عزله,1
142,"أحتاج عزلة لوحدي
والشخص المناسب ما ابيه خلوه لكم ",1
143,"ماعاد أبي ناس وجماعات وأصحاب 
انا معَ نفسي أبعيش ذاتي

ماهو ضروري تنعرف بعض الأسباب 
هذي قناعاتي وهذي حياتي",1
144,أحتاج عزلة,1
145,واو عزلة ورغبه بالصمت بالفعل حذفت بعض البرامج وحابه اقعد مع نفسي اكثر,1
146,عُزلة,1
147,هى عزله سنه سنتين عن العالم وهكون زى الفل,1
148,"فلوس و
سفره و
اجازه و
عزله",1
149,"٠
٠

عُزلة آخر اليل اعادة ترتيب لحياة",1
