,text,label
0,يعني ما أصدق على اله أفتك من اكتئاب ما بعد الفطور يجيني اكتئاب ما قبل السحور حياتي أصبحت رهينة هالقطب,1
1,حاس إني داخل علي اكتئاب سيكا,1
2,فيني اكتئاب من متى انا حساسه وابكي بدون سب وتفكير مفرط انا مش انا,1
3,من الحين جاني اكتئاب مو مستعده اتركهم,1
4,لم تكن مجرد نوبات اكتئاب كانت إنطفاء تدريجي يسحب الروح,1
5,لما يكون يومك بدايته زق وانت عارف انه بداية دوامه وموجة اكتئاب وتستغبي وتحاول تسوي سعيد وتزعل وتقول لالا ما بستسلم,1
6,دا اكتئاب زياده عن الازم,1
7,"موجة اكتئاب بعد ما استوعبت انو بدا 
وعليا كويز ب 
بمحاضرات ما احضرتهم ومادة بكرها ",1
8,احسني دخلت ب اكتئاب,1
9,اكتئاب اليل دا مش عارفه هنخلص منو امتا,1
10,مشان الله خلص كل ما اتذكر هل موسم ادخل بدوامة اكتئاب,1
11,اذا اجتمعت كثير مع الناس اصير افكر كثير في كل تصرف بعدين ادخل اكتئاب,1
12,صار لي اسبوع اكتئاب حاد سوداوي و الحين حدي مبسوطة اله يستر اله يستر اله يستر و اله الفرح يخوّف هالايام,1
13,فيه سرسوب اكتئاب داخِلِّي ف حياتي مش عارفة جاي منين,1
14,دايمًا بداية كل صيف خصيصًا هالوقت يحوشني اكتئاب لأسباب مجهوله ويطول شوي ف نسأل اله الصبر وان يعديها باسرع وقت,1
15,هو البقاء لله وكل حاجه يعني بس انا جالي اكتئاب من الي بشوفو ع الفيس بوك,1
16,بموت حزن ابي ريما وغاده دخلت حالة اكتئاب يوم راحو,1
17,هذي حياه اكتئاب ب اكتئاب ,1
18,انا قرفان من الناس ومن البشريه وعندى اسبابى ودوافعى المقنعه لاى حد عاقل مش اكتئاب او توحد او مشكله عندى انا هما الى ولاد وسخه,1
19,كل ساعتين بقر اقفل كل حاجه وانعزل عن العالم ودا بدايه اكتئاب جديد بلا سبب,1
20,ف نفس الوقت دا بالظبط من سنه كنت داخل ف فتره اكتئاب بنت وسخه وشكلنا راجعين تاني اهو ربنا يستر عشان انا م ش ق ا د ر,1
21,قاعده احاول بس جاني اكتئاب من بعد ما خلصت فصول مورياتي,1
22,لا مش وقته اكتئاب,1
23,اكتئاب ارقب ارقب,1
24,واله اكتئاب شهرين ليكدام رينغكوكو,1
25,اشم ريحة اكتئاب يارب ارجع جدة بسرعة,1
26,احا نيك  يا اسطى انا جالي اكتئاب ساعتها و قعدت اتعالج و خسيت فشخ و حياتي اتناكت بس بعد كده خلاص بقى بقيت جبلة,1
27,ايوه معي اكتئاب حاد وثنائي قطب من ثلاث سنوات مع ان عمري  وعانيت بشكل ما تخيله منهم واحين جالس اتعا,1
28,اناعندي اكتئاب مهزأ يعني لو حد ضحكني بضحك ومكن اغني وارقص كمان بس انا فالحقيقة مكتئب,1
29,اكتئاب السحور,1
30,بوادر اكتئاب,1
31,اكتشفت انو اليوم فيني اكتئاب داخلي,1
32,انا أيد شيلة الحظرواله ملينا حاشنا اكتئاب,1
33,اكتئاب ما بعد الاجازة,1
34,تخيلي لي فترة وانا في اكتئاب وكنت اتوقع المشكلة تكمن ف الفراغ واني لازم اتوظف وزاد همي بعدين اكتشفت مشاكل كلها لا,1
35,اليوم اكتئاب وتهاوشت الحمداله ع كل حال,1
36,قمبله اكتئاب بعد نص اليل,1
37,واله جالى اكتئاب,1
38,"رمضان غير 
المهم نبي الحظر يخلص واله صار فينا اكتئاب وهم",1
39,دبل اكتئاب اله ياخذ العدو,1
40,الصورة ال دي الي بالسماعة ياروش كنت بمر بفترة اكتئاب كانت في  وكنت وازني زايد وشي متبهدل من السهر وكن,1
41,حايشتني موجة اكتئاب,1
42,"قبل اعلان الهانكر كنا كأنا حمّل حالياً ولدنا وصار فيه اكتئاب ما بعد الولادة 

التشبيه رهيب",1
43,"اكتئاب مع شوية قلق 
وعليهم ضغوطات حياة 
وشويتين كره لحياة الغير عادلة
و مع رشّة",1
44,الي يسمعني وانا بقول عندي طاقة اكتئاب ميقولش انه عندي من سنتين مثلاً لغاية مابقيت اتعامل معاه علي انه من اساسيات حياتي خلاص ,1
45,يارب احميني من نفسي بجد انا عندي طاقة اكتئاب رهيبة و كل العوامل الي تساعدني عليه كمان,1
46,انا عندي اكتئاب نوعين واحد يسد نفسي عن الاكل و غالبًا هذا يكون مصحوب بقلق الثاني يفتح شهتي على الاكل,1
47,انا كمية الفضايح و قصص التحرش الي قريتها انهارده جابتلي اكتئاب يابن المره,1
48,من يبغاها حلال عليه طفشت من كثر الفلوس عندي جابت لي أكتئاب,1
49,ملل إدمان تفكير إكتئاب,1
50,اكتر حاجة بترعبني و بتعبني نفسياً هي كلام ابويا على انه كبر و انه حاس ايامه بقت معدودة الافكار دي بتدخلني ف موجة اكتئاب و اله,1
51,احس من الحين شايله هم اكتئاب المغرب,1
52," من الخاص  

السلام عليكم 

اخواني لي فترة معاي اكتئاب شديد ومزاج متعكر بدون اسباب  جربت الادوية النفسية وماجابت",1
53,"بدايةً انا وقتها ما أعرف أيش معنى إكتئاب ولا عندي خلفية عنه
كيف دخلت المرحلة
بعدما إنتقلت من مدرسة عظيمة معطيه ال",1
54,وصلت ل مبقتش عارف دا اكتئاب ولا انطفاء ولا انا كدا فى حالتى العادية اصلاً,1
55,كل ما ارجع اسيوط يجيلي اكتئاب مش عارف كنت مستحملها ازاي,1
56,"لأسف أول ماقريت البوست هبطت عليا موجة إكتئاب فاجأة
متلازمة ال دي لازم ألاقيلها حل",1
57,طلع معاي اكتئاب حاد لاحول ولاقوة,1
58,في حياتي كلها مريت بأكتائبين اكتئاب في ٢٠١٧ وكان عشان صحتي كانت زفت وصدق تعبت وكرهت الحياه وكل شي سنه بس واكتئاب عل,1
59,مهما كنت مذاكر علم النفس و دارس فنيات علاج تمام التمام لما يحدث إثارة لاميجدالا ويجيك حزن او اكتئاب كل المعرفة ا,1
60,مسلسل كوفيد ده يجيب اكتئاب وقلق اكتر من الي احنا عايشين فيه,1
61,اخذت فيتامين د عشان كان عندي اكتئاب حاد ومع مرور الوقت اكتشفت انه العله مو بنقص فيتامين د العله بعيشتي هنا,1
62,"شفته من زمان بس ما تحملت اكمله 
حاشني اكتئاب فضيع",1
63,مخي بيفكرني بميموريز سيئه بالنسبة لي ومصم يدخلني في مود اكتئاب يسطا مش كفايه عليا زتقه الامتحانات الي انا فيها انت عضو مش جدع علفكرا,1
64,واله انا زي زيك بالظبط معرفش ايه الي مزعلني ولا اكن اوضتي مرشوش فيها اكتئاب وانا قاعده بشمه ,1
65,موجة اكتئاب جديدة ,1
66,أنا حياتي كلها ضحك وفرفشه ومعرفش يعني أي اكتئاب حتي اسأل صحابي,1
67,واله الواحد ما بيعرف هو اكتئاب ولا انطفاء ولا نضج ولا انعدام شغف ولا حالة نفسية,1
68,الصوره عبارة عن فول اكتئاب,1
69,اكتئاب ماقبل المقابلة الوظيفية,1
70,لا واله انا الي محد صبر عالحجر كثري مريت بحجرين حجر مخالط ١٤ يوم وحجر مصاب ١٠ ايام و غير ٤ ايام بجابر دشيت في اكتئاب,1
71,احس فيني اكتئاب,1
72,الناس بتعمل شوبينج تجد نفسيه وانا جالي اكتئاب,1
73,احس اني دخلت حاله اكتئاب او شي,1
74,انا البس بجامه و يجيني اكتئاب بعد المغرب,1
75,يحتاج اسبوع اطلع من اكتئاب هاي الحلقة,1
76,بمناسبة ان أحس ان اختي ١٣ سنة فيها اكتئاب بسب محيطها الزق واهلنا المتخلفين ورغباتها الي مو قادره تحقها بسبهم من,1
77,دخلتيني ف اكتئاب يشيخه حسبي اله ونعم الوكيل,1
78,واله الواحد ما يدري اهو اكتئاب ولا انطفاء ولا نضج ولا انعدام الشغف ولا تخلف ولا حاله نفسيه ولا هذي شخصيته,1
79,حاليا انا داخلة ف دوامة اكتئاب بسب الفراغ ده وقعدة البيت,1
80,دعيت ربنا اخس خسيت جالي وسواس قهري جالي اكتئاب,1
81,القمر المكتمل بيجبلي اكتئاب هو حلو و كل حاجة بس بيكئبني,1
82,واله الواحد معد يدري هو اكتئاب ولا انطفاء ولا نضج ولا حاله نفسيه ولا هذي شخصيته,1
83,لحظة لحظة مين قالك اني مكتئبة و لا حاربت اكتئاب على كلا اسفه,1
84,موجة اكتئاب حاده,1
85,قاعده البيت اي ال تجيب اكتئاب ما انا مبخرجش من البيت واخر انبساط,1
86,صدق واله انا فيني اكتئاب,1
87,بدأت جد جدا وريحت شويه في النص بس بعد مريحت مبدأتش تاني وجالي اكتئاب ومذاكرتش من شهر ٤لحد الامتحانات ومحلتش اي امتح,1
88,اكتئاب فل مارك ولهي,1
