,text,label
0,"아아아아아ㅏ아아ㅏ
피곤한데 오랜만에 틧터하면서 밤 샐래
같이 하실 분 없으면 미어캣즈 랑 하구",1
1,"바둑아
개자쓱아 경인선 갔으면 화끈하게마
백신 마자쁘라
쪽팔리게스루 뭔 쏘질이고
망신스러 못살게따
머스마가 부랄달고 뭐하는 짓이고
나가 죽어라
니들이 존경하는 베네슈엘라 차베스는 마자뿌따
개자쓱나가 죽어삐라 ",1
2,"외롭다누가 나한테 고백 좀 해주시와요
트친소 게친소 게이들 ",1
3,잘 안 붙어서 떡칠햇지만 정리하면 되고 시간 안정시킨 후 핀 박자 ,1
4,리듬게임 실력 갑자기 겁나 퇴화돼버렸음 우울해ㅠㅠㅠㅠㅠㅠㅠ,1
5,서울시·개 자치구 내달 초 재난지원금 억 지급  다음 뉴스  개인택시 기사들은 이방인인가요 왜 제외 시켰나요  개인택시도 끼어주세요 힘들어 죽겠어요,1
6,년 하반기는 월이 고비였고 다행이 뒤로 갈수록 좋음의 상태가 훨씬 많은 날을 차지함 올해는 감정 일기를 써볼까 하여 새로운 어플을 다운 받았다 년도 나를 잘 들여다 봐야지 ,1
7,우울해서 죽는 거보다 범규 얼굴보고 죽는 게 더 빠를 듯 ,1
8,년 공들였다가 결국 무용하게 된 일의 형식 만들기를 그대로 다시 따라가고 있다는 기억이 지겹다못해 스트레스를 주는 듯,1
9,"제품명  ANDROIDFPUK
등록된 제품명  【서문교 】
보고된 오류내용 
등록된 「전 애인」를 적대하는 행동양상을 보입니다
원인검증결과  외부 데이터의 비정상적 유입
해결책 제안  자립형 감정 프로세스 설정 해제
안당오 shindanmaker
",1
10,아 스쿠나도 심심하다는 감정을 느낄까  이타도리 영화볼때 관심없는척하면서 실은 전부 같이 본거아님 ㅋㅋ 사실 이타도리가 다른사람과 조금이라도 진도나간다싶으면 꼰대짓인지 질투인진 몰라도 괜히 튀어나와서 방해하는 스쿠나 보고싶다 끝까지 질투는 아니라고 우기는 스쿠나할배,1
11,이 둘 지원회화 끝까지 보면 역시 지옥 끝까지 함께 할 여자들같으니 하다가도 정작 벨레스로 이 여자들이랑 결혼은 못 해서 나를 깊은 절망에 빠지게 함,1
12,"취임식 하러 가는기가
죽으러
ㅋㅋㅋ ",1
13,"표정 풀고 피곤해서 그랬다며 마른 세수 하는데 연하 갑자기 덜컥 겁이 나지
아무래도 전부 당연하다고 생각해왔는데 그게 아닌 것 같아서 그러나 자신을 불편하게 만드는 어떤 죄책감의 발원지는 알아채지 못하고
먼저 가방 들고 자리 피하는 형 뒷모습 바라볼 수밖에 없는
그런 윈샤",1
14,"돈써서 결국 호두를 먹긴 먹었는데 왤케 화나지 진짜 돈아깝다는 생각도 들고 키워보면 위로가 되려나

진짜 프리코네 천장에 원신 천장에 되는게 없으니까 우울하네
빨리 취업해야 되는 이유를 찾았다 나같은 운없찐은 돈이라도 잘 벌어야해",1
15,인터뷰뉴스티비 속보 이낙연 국무총리 검찰개혁 공수처 설치 못하면 대한민국 미래와 검찰의 불행 강력추진 시사 ,1
16,깜배 솔직히 이렇게 오랜만에 폭풍ㅇ 오열한 적은 처음이다 좋알람 넷플  나와서 정주행했는데 송강이 주인공이 아니었어 보는 내내 마음 찢어지는 감정으로 보앗는데 왜도대체 왜 이러케 끝나는거야 도대체 왜 도대체 왜 이렇게 끝나 왜 어ㅔ 송강이 주인공 아니야 왜 왜 왜,1
17,대부분의 불안은 비합리적이고 과대망상으로 흘러간단걸 인지하면 조금은 마음이 편해진다 어디까지나 조금뿐이지만,1
18,근데 상상할수록 너무 귀엽다 애기들이 쪼고마한 손으로 핸폰 툭툭대며 톡보내고 침대 위를 뱅글뱅글 돌아다니기 알림뜨면 후다닥 달려가서 답장하고 분간 답없으면 발 동동 구르며 크렉이 죽은것같다고 으아악 소리지르며 뛰어다니는 트윅 하교하면 맨날 집에서 둘이 문자하느라 시간없을듯ㅠㅜ미쳐,1
19,죽은 사람도 산 사람도 그저 재생될 뿐인 세계,1
20,"아닛 이름님ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
이렇게 예쁜거 가득가득보내주시면 어케요 정말 ㅠㅅㅠ 좋아죽겠어요 글리터카드지갑에 키링에 아키야마 명함에다가 제로지마명함까지으악 넘좋아요 소중히소중히간직하겠어요 아캬마명함은 왜또이리많아요ㅠ ",1
21,이러니 번이 죽어라 부정하는군요 ,1
22,"사진찍을때 고글 안칠한거 발견해서 

고통한번 더드리기  
제성합니다아ㅠㅠ  발견해서 다행 ㅠㅠ  ",1
23,살면서 이러이러한 관계로 만났으면 참 좋았을 것 같은 사람은 꼭 저러저한 관계로 만나게 되어 인생은 피곤한 듯,1
24," 어쩐지
인기가요 뮤직뱅크 등등 음악방송만 죽도록 봤더니 아이돌팬됨 ",1
25,도라 우리 애깅이 운전해 ㅠㅠㅠㅠㅠ 죽고파ㅠㅠㅠㅠ,1
26,죽어 ,1
27,근데 가끔 좀 어려움이바라 커플링을 정말 좋아하는데캐입을 하면 내 캐해석이 얘는 연애를 할까 그런 금방 식어버릴 감정에 만약 자기 앞길이 방해된다고 생각하고 안 할 거 같은데하지만 커플링은먹고,1
28,학생들이 신규 간호사에게 감정 이입하여 불쌍해하면서도 신입 조교는 일 못한다고 까는걸 보며 마음이 복잡해지는 이런 삶,1
29,"한때 따뜻한 보수라는 캠페인이 유행 했었다 지금 따뜻한 보수가 필요한 시기이다 최저층  중에 야권지지자들 엄청 많다
각성 하기 바란다
굶어 죽게 생긴 사람들이 널렸다",1
