,text,label
0,진짜 자살하고싶다,1
1,"고등학교 너무 힘들어
첫날인데 너무 힘들었어
중딩 너무 그리워
너무 외로워",1
2,아악 맞아 탐라에서 보니까 갑자기 생각난다 케이 미끼죽음 진짜 하 진짜 그순간 과몰입쫙됐고 커뮤에서 그런 서사가 나올수도 있다는걸 처음알았음 진짜 그거너무 대박적지금 생각해도 후유증진짜,1
3,"일본 여행갈것입니다
친절하고 예의가있으며 식당은 쳥결하고 깨끗한 일본 반일감정 국민에게 부추기는 정부와 더불어당 일본을 매도하고자 그들은 깻끗한가 일본에가서 빠에서 사케마시고 계집끼고놀고 주접은 다떨고 국민앞에서는고귀한척이중인격자들이다 ",1
4,"내가 언제 어떻게 죽게 되는가 

⠀ ",1
5,아는 동생의 절친대이 유방암 말기로 시한부 선고 받았다고 들었는데 갑자기 이번주 임종을 준비한다고 ㅠㅠㅠ 본 적 없는 사람이지만 너무 마음 아프고 슬프다 부디 떠나는 길은 평안하기를 기도한다,1
6,죽는것보다 고통이 더 무서운 케니 ,1
7,저기 계정 계옮계 아니구 일상계 따로 만든거니깐 저기 갔다고 여기 썰면 슬픕니다요 ,1
8,근데 진짜 설리번잡으면서 엄청 죽고 그뒤로는 쉬웠어서 그때 후두려 맞으며 배운거 잘했다고 생각함,1
9,이건나니가하지 오지상은 나한테 등돌리면죽는거야 ,1
10,그리고 어제오늘 시간 금식하고 병원가서 혈압재고 진료받구저는 다 검사 해보려구 복부 초음파도 했는데 너무 강하게 꾹꾹 눌러 검사해서 배 아팠지만 지방간 외엔 다른 장기들은 괜찮았슴다 원래 술담배커피 다 안하기 때문에 스트레스가 원인인거 같다구음음,1
11,사람들이 왜 헬창이 되는지 알겠어요 저 이번주에 운동 시작했는데 오늘 하루 안갔다고 불안합니다 호달달,1
12,"굿모닝
피곤해서 더 자러감",1
13,"국내 디지털인문학이 그간 문화콘텐츠로 이해됐던 지점은 이해할수 있으나 압도적인 컴퓨팅 파워와 알고리즘 접근성도 중요한 요소임을 이 논문은 무시하고 있다

이광석 윤자형  국내 ‘디지털인문학’의 정착과 굴곡  대학 교육과 미디어 테크놀로지의 불안정한 접속 한국언론정보학보 ",1
14,나 진짜 아무래도 조유리 Im in love with a monster 풀곡 다 듣지 못하면 억울해서 못죽을듯,1
15,ㅅㅂ 졸려 죽어,1
16,피곤한듯 귀와 꼬리를 늘어뜨린채 조용한 골목으로 들어간다,1
17,우리 가족은 내가 정신과 가면 니가 정신과 갈일 뭐있냐고 할 듯 내가 지들한테 받은 스트레스랑 가스라이팅이 얼마나 심한데,1
18,나는 배달시간 맞추려고 보행자 신호 켜진 횡단보도를 가로지르는 배달 오토바이에 치여서 죽고싶지 않음 ,1
19,죽을까요 여러분 ,1
20,성직자를 보십시오 가난한 노동자처럼 生命 바칠일 없이 사랑 말만해도 天使대접 받고자비를 말하는 스님을 보십시오 고통받는 중생처럼 生命 바칠일 없지만 天使대접 받습니다 이런 세상이 수천년을 반복해도 성직자스님은 모순과 위선을 깨닫지 못하니 살아이에게 심판받아 마땅한 세상입니다,1
21," 
살쪄서 슬픈 망두 ",1
22,오늘은 명조의 균형에 대해 공부해 봤어요 주관적인 해석이 주를 이룹니다 ,1
23,흐헿ㅎ 비계친들 보면 심신의 안정이 옴 체고,1
24,"너무 많은 학대에 슬프고 아픈나
남들과 너무 다른것 아닌가 걱정이 참 많은 나
사람에 대한 무서움도 많은데
어쩔땐 내가 더 무섭다
화를 내면 분노
그 분노를 나를 좋아하는 사람에게나 내곁에 있는 사람에게는 던지고 싶지 않아
꾹꾹 눌러 차갑게 굳은 돌맹이다
이제 제대로 가해자들만 맞추면 된다",1
25,오늘 크로키안하고 자면 죽는다,1
26,"아이고 죽겠다 
내일 점심때 그림 공개해야지 ",1
27,한강 이북을 포기할 수 없게 되면서 폭 km 종심 km라는 전투공간만이 허용된 시점에서 어느 나라 군대를 갖다놔도 선택의 여지가 없음 기동방어를 하려고 해도 어디로 우회를 할 것이며 화력 집중을 하려고 해도 어떻게 공간을 확보합니까 그냥 팻맨 말고는 답이 없다,1
28,너무 피곤하네요 우ㅜㅜ우,1
29,"나는 전에 사랑했던 사람이 죽어 사랑하는 것에 두려움을 느끼는 캐가 좋다
그런 캐를 다시금 두렵게하는 캐도 좋다",1
30,"제가 당신을 거슬리게 했다면 말해주지 그랬어요
꽁꽁 숨겨놓다가 갑자기 통보해버리면 저는 어떡하라고요

 설명할 기회도 해명할 시간도 주지 않고 감정싸움으로 치부해 버리셨으니 일단 무릎꿇고 빌어보는 제게 그렇게 칼같이 구셨겠죠

그래도 뒷담은 제게 너무 상처였어요",1
31,"반박을안하고어케살지
차라리죽는게나을것같음 내앞에잇는애가그어떤빡대가리짓을하더라도그어떤병신같은말을하더라도가만히듣고만있어야한다니그자체로이미고문의완성된형태가됨 ",1
32,"아베가 직접 연락했나요 의회에서 이야기했다는 언론보도만으로 지원여부 운운하는것은 뭔가 잘못된것 같습니다

위기의 日 손잡아주는 한국 이웃 감염 안정적이어야  다음 뉴스 ",1
33,"다른나라같이 국민불안 종식위해 문재인이 솔선해서 맞으면 될일을
먼저맞으면 뭐 국민제치고 특혜니 뮈니 되지도않게 꼼수 부리고 자빠질때냐
그렇게 특혜 따지는것들이
부적격자 기생충딸 의사 만들고 더 어려운사람 다 재끼고 문재인아들 지원금
타 쳐먹이냐",1
34,오늘 너무 피곤해서 잘게요ㅠㅜㅜ 하나도 교류 못 해서 아쉬운데 낼부터 한주도 함께 달려갑시다 ,1
35,우대조건 이상으로 다 충족시켜도 안되는 일이 있다니 나를 제외란 나머지 지원자는 우대사항 중 기간밖에 충족 못시킨다했는데 그래서 컨설턴트 분께서 붙을 확률 높다 하셨는데 거절당했다 슬프다 ,1
36," 룰
회색성기담은 굉장히 간단하지만 배드엔딩메리배드엔딩 즉 비극을 즐기기에 최적화 되어 있는 룰이었습니다
특히 운명의를 이용해 백색과 흑색 영역을 표시해 점점 더 불행과 가까워지는 것을 가시적으로 표시해 주는 것이 흥미로웠네요ㅎㅎ
수수께끼와 망설임 괴물화 등의 시스템도 좋았어요",1
37,시발 유퀴즈도 못봤어 시발 죽고십다,1
38,크아아아 으아 흐아아아 아침부터 말렉 생각에 심장 벅차올라서 고통스러움에 울부짖기,1
39,명상 처음 해봤는데 모닝루틴으로 명상하는 분들은 대단한 것 같아 새소리 들으려고 창문 열었더니 발은 시리고 차랑 지하철소리만 너무 나서 슬펐다 ㅠㅠ 그나마 지나가며 조금씩 났는데 그 조금의 새소리가 너무 좋아서,1
40,"자캐가죽는다면가고싶어하는장소는천국or지옥or기타
죽는다면 소중했던 사람의 곁을 천천히 돌아다니다가 이내 눈감고 무로 돌아갈 듯천국도 지옥도 가지않음 에스터는 종교를 믿는 기사지만 그다지 신을 믿지는 않음다만 교리를 따라가서 얻는 성실함은 있다고 생각하고 존중해서 따르는 것",1
41," 
살았는지 죽었는지 
소식이 읎는 언니인지 누나인지",1
42,으악 우울함이 늘었어 ,1
43,사람들이 그런 말을 하면 사람이 상처받을 줄 몰랐다은 듯이 행동한다 정말,1
44,내 로르샤흐 검사의 결과는 다음이었습니다 건강하고 균형 잡힘 내 사고 패턴을 자세히 보려면 클릭하세요   ,1
