,text,label
0,Здравствуйте Мне  лет но у меня были попытки суицида но меня спасли ,1
1,Цените время с любимыми ведь потом его может и не бытьdepression депрессия Грусть Боль,1
2,Текст написан в разброспотому что в моей голове очень много информациии она просто льётся сюда через клавиатуру и мои пальцы,1
3,  Я думаю о суициде Я разочаровалась в людях в обществе да и в мире Я в отчаянии Живу с бабушкой мама выпивает,1
4,кто вообще сказал что время лечит  лечит не время а человек Если этого человека нет исправь всё самаdullknife депрессия грусть боль,1
5,Начала читать истории самоубийств еще сильнее расплакалась ,1
6,  На меня всегда орёт мама жизнь у меня как у бомжа я хочу сделать суицид,1
7,Здравствуйте красивые люди Если я тебе понадоблюсь мой кик Georgeandrew Любви всем га,1
8,  Я не хочу жить потому что в моей жизни нет смысла Я не хочу жить после того как меня бросил мой любимый парень,1
9,Ну скорее я сейчас не горю желанием убиться просто на душе реально огромный груз что тяготит меня,1
10,Не знаю как сформулировать Я теряю веру что Бог меня слышит а без веры единственного очага моего существования не вижу смысла жить,1
11,Иногда вам просто нужно дистанцироваться от людей Если они заботятся они заметят Если они этого не делают вы знаете где вы стоите,1
12,Чтобы я не делала всё равно становится хуже Никак не могу найти друзей Томлюсь в одиночестве   ,1
13,Когда дверь закрывается открывается другая но мы так долго и с сожалением смотрим на закрытую дверь что не видим ту которая открылась для нас,1
14,Как можно узнать для чего ты живешь и какое твое предназначение в этой жизни,1
15,  Я очень устала вечные долги проблемы да и только,1
16,Уважаемые форумчане ,1
17,В моей жизни творится чтото невероятное все настолько сложно  что хочется покинуть этот мир раз и навсегда,1
18,Выгнали из домабеременнане работаюидти не кудавот и думаю может оборот,1
19,Халло а как прошел ваш день Какими красками он порадовал Сколько раз улыбались,1
20,Я беременна наркозависима и ещё из училища отчислили Выхода нет ,1
21,Ты все что у меня есть пожалуйста не уходи как все остальные,1
22,  Денег осталось на  месяца скромной жизни У меня уже была попытка суицида Существовать как отброс общества  это для меня страшно,1
23,Здравствуйте Меня зовут Настя Я считаюсь в своем классе изгоем Никто не разговаривает со мной все сторонятся меня на переменах я стою в углу ,1
24,            Здравствуйте          ,1
25, У меня такое чувство что все меня ненавидят Но я никогда ни с кем не общалась У меня нет любимого человека Я не имею право жить ,1
26,Я совсем отчаялась,1
27,У меня  проблем и  из них  полностью выдуманные сценарии в моей голове о которых я подчеркиваю совершенно без логической причины,1
28,Смысла жить не вижу,1
29,Я ненавижу еду так чертовски cq,1
30,Я так ненавижу свое тело Я чувствую себя таким тяжелым все время Я хочу чувствовать себя хорошо хорошо  MC,1
31,Здравствуйте не увереначто имею право писать здесь По сравнению с другими историями моя не отличается особой трагичностью,1
32,я могу буквально сидеть и думать что у меня плохое настроение,1
33,  Уже год меня не покидают мысли о самоубийстве Мной как будто бы все пользуются Не знаю зачем я живу чувствую себя легальным рабом,1
34,Здравствуйте друзья ,1
35,  Я не могу найти работу Я ничего не стою Мне отказывают всегда и везде Я хочу стоить большего Либо не жить вообще,1
36,Здравствуйтемне очень тяжело на душебольнохочется просто покончить с собой,1
37,Изучите гипотезы depression genes о разоблачении http medicalxpresscomnewsdebunksdepressiongeneshtml…,1
38,У меня нет сил жить дальшеПродолжение моей нелепой жизни лишено всякого смыслаВсе свои  лет живу в какомто другом мирев который ухожу чтобы не ,1
39,Меня Дима зовут   Лет  У меня нет ни друзей ни девушки ,1
40,Моё лицо вам будет сниться в кошмарахДепрессия soulpain,1
41,Здравствуйте Даже не знаю с чего начать,1
42,Как же меня все досталоя уже просто не могунет сил жить уже подумывала о смерти и как это можно совершить безболезненно,1
43,Это не просьба о помощи а скорее желание рассказать свою историю перед последним шагом,1
44,Хочу умеретьно не могу,1
45,  Не хочу жить хочу умереть Нет смысла в моей жизни нет семьи Это наверное главное что меня угнетает,1
46,Здравствуйте Не знаю как начать свой рассказ но  ,1
47,здравствуйте моя проблема в том что я слишком тороплюсь жить вышла замуж в  сразу ребенок мужа знала два месяца всего разошлись спустя  ,1
48,И да  в чем смысл жизни Никто не хочет со мной говорить об этомеще более грустно,1
49,  Затяжная депрессия ощущение бесполезности нет веры в благополучное будущее,1
50,Я не сделал но сделаю  lt     Dazzlar   DawnHolder   Спасибо за подписку HeadGym,1
51,Моя история такова С детства я рос очень избалованным ребенком Родители ,1
52,Доброго времени сутокМеня зовут Оксана мне всего Я чувствую себя тупым ничтожествому меня нет сил бороться с собой ,1
53,Я типичный тупой бездарный подросток я не хочу жить не хочу совершенствоваться не хочу развиваться за что бы я ни бралась тут же бросаю это ,1
54,  Живу с ощущением что меня обманули Вчера хотелось чтото сделать с собой Я не могу найти себя для чего жить,1
55,Здравствуйте Мне  лет и последние месяцы я всё чаще стал задумываться о суициде,1
56,Всё началось с того что умер мой дедушка Мне было больно это слышать я плакала всю ночь Както с этого момента всё пошло не так,1
57,Я  мать инвалида И я  чудовищеЯ зашла на этот сайт случайно методом слепого набора Я хочу сказать вслух сказать хоть комунибудь,1
58,меня зовут Кристина мне  летникто меня не может понять ни родители ни любимый человекС любимым человеком всегда ругаюсьон не может войти   ,1
59,В силу моей веры в Бога я не собираюсь убивать себя Однако если бы я была атеисткой кто знает,1
60,Депрессия soulpain Правильно говорят чем добрее душа тем сложнее судьба,1
61,Мне  лет и мне стыдно за то кем я стала,1
62,Сегодня была неудачная попытка повеситься Не  смог  испугался ,1
63,Всем здравствуйте,1
64,снаружи я веду себя нормально а внутри я ломаюсь,1
65,Итак я пишу зачем я это делаю я и сама не знаюпросто хочется высказаться Вроде бы я очень жизнерадостный,1
66,и скажи мне кто ищет внимания шлюха,1
67,Уже второй день нахожусь в глубокой депрессии Нет того человека кто смог бы поддержать меня успокоить Поэтому и обращаюсь к вам за помощью,1
68,здраствуйте,1
69,Я незнаю что делать мне просто нужен человек которому можно рассказать проблемы и они не коснуться чужих ушей как у меня,1
70,Душа кровоточит,1
71,Здравствуйте  Пишу сюда от безысходности  Так как часто приходят мысли о самоубийстве  ,1
72,Меня зовут Алина ,1
73,меня бросил парень родители не понимают меня а я беременна  МЕСЯЦА хочу умереть а как не знаю и с кем помогите кто может Оля Машова,1
74,ЗдравствуйтеМеня зовут Ира мне ,1
75,Я никогда не была самым лучшим учеником гимназии и это было понятно всем Не смотря на это моя мама верила в меня Но позавчера мне ,1
76,Это так иронично Некоторые люди в жизни которые говорят «Я всегда буду здесь для тебя» те которые уходят первыми,1
77,Самыми важными людьми в вашей жизни будут люди которые любят вас когда вы не любите себя,1
78,  Я больна неизлечимой болезнью нет смысла жить Не живуа коротаю дни,1
79,я хочу умереть,1
80,Я пустая мерзкая и отвратительная Мне постоянно плохо и я принимаю успокоительные средства Втайне от родных пытаюсь покончить с собой ,1
81,Наличие шрамов и возможность носить их живыми означает что вы крупнее и сильнее чем ктолибо кто пытался вас стащить поэтому никогда не стыдитесь,1
82,В чем смысл жизни В репродукции человека Передаче эстафеты Пожалуй точно никто не знает этого ответа Это грустно,1
83,Здравствуйте  Меня зовут Татьяна Со мной произошло чтото ужасное После того как мой парень сделал мне предложение  я потеряла ,1
84,Ненавижу эту жизнь,1
85,Здравствуйте,1
86,неловкий момент когда вы думаете что вы важны для когото а вы нет,1
87,Я в отчаянии Хочется вернуться и исправить те ошибки которые сейчас не дают спокойно жить,1
88,Мне всего  а меня уже всё достало с учёбой не очень все девушки мне отказывают по причине того что я не русский и потому что у меня косоглазие,1
89,депрессия возможно,1
90,Здравствуйтеу меня нету девушки и мне из за этого очень плохо,1
91,Мне  лет ,1
92,Прошу помогитеМне  летподруги и я считаемчто фигура у меня нормно никто до  класса меня уже не мог поднять,1
93,У меня нет никаких проблем Ну конечно они есть но я осознаю что всё преодолимо и это к счастью никогда не вызывало особой трудности,1
94,Доброе время суток Возможно моя проблема покажется пустяковой Но меня она попросту сводит с ума ,1
95,Я чувствую что твиттер  единственное место где тебе не нужно говорить «я в порядке» потому что все здесь знают что ты не такой,1
96,ПомогитеУ меня погибла сестраЯ не хочу житьЯ хочу к ней,1
97,Доброго времени суток  ,1
98,ненавижу себя и жизнь art depression,1
99,В жизни мне понастоящему нравятся только две вещи учёба и музыка Все хоть скольконибудь радостные моменты были связаны либо с тем либо с другим,1
100,Надеюсь у всех вас прекрасная среда надеюсь у всех вас есть повод для улыбки сегодня  lt ,1
101,  Я запланировал суицид грамотно продумал,1
102,Добрый день ,1
103,Я не знаю точно суицид это выход или нет но бога ради мне так хочется это узнать,1
104,  Я хочу жить Но мысль что можно убрать боль самоубийством возникает периодически,1
105,Привет мне зовут Аня,1
106,Поговори со мной хотя бы чуточекУзнай как я хотя бы разокdepression депрессия Грусть Боль,1
107,  Я чувствую себя в бесконечном круге и выхода оттуда нет Проблема мешающая мне жить мой младший брат Я много раз думала о суициде,1
108,Всем добрый вечер,1
109,Как же я устала от всего этогоdepression депрессия Грусть Боль,1
110,  Я не хочу дальше жить Он в онлайне целый день и долго Наверное уже общается с другой Это конец моей жизни,1
111,Попал в больницу пришел домой жена с ребенком ушла к другомуПришел на работу узнал что уволен,1
112,Добрый день Хочется рассказать очень много  не знаю как это получится ,1
113,Всем здравствуйтеВ общем у меня типичные проблемыно я не знаю как с ними справиться,1
114,я нехочу житьно живу потому что у меня есть ребенок дочка её уже  годикасегодня меня бросил муж,1
115,Здравствуйте Пишу потому что мне так плохо больно и горько что мысли о самоубийстве стали главным утешением Хотя я считаю себя адекватной,1
116,Вместо того чтобы рассказывать что я чувствую я сижу в твиттере и публикую твиты об этом,1
117,надоело быть неудачницей слабой,1
118,Добрый день мне  и я себя убиваю тк не стала тем кем хочу Я не знаю как все разрешить и помочь себе,1
119,Как решить проблемуС детства комплексы Ненавижу себя Не могу смотреть на себя в зеркало Разбиваю его Не могу ладить с родными Хоть мне и  ,1
120,Почему навсегда ничего не бывает Скажите мне этим вопросом я задаюсь с самого раннего возраста ,1
121,  Все счастливые люди кажутся мне лицемерами Эта жизнь как гулаг для меня Как мне выбраться Я на самом дне,1
122,  Я плачу даже от того что мне могут сказать чтото не обидное но грубым тоном После таких слов мне просто хочется убить себя,1
123,Ктото спит ктото ест ктото смотрит сериалА я плачу и делаю геометриюdepression депрессия Грусть Боль,1
124,  Мысли о суициде  Ненавижу себя и этот мир потому что не родилась стройной от природы а похудеть не могу Жизнь  тупик,1
125,Не знаю зачем пишу Выговориться наверное,1
126,  Мне не хочется жить я запутан в себе я потерял интернетбизнес это был очень сильный удар по мне,1
127,Я просто хочу прекратить все это И может начать заново Кто знает У моего мужа рак Уже полгода почти и все стало кошмарно Я больше не могу,1
128,Измените перспективу и вся ситуация изменится га,1
129,Я не могу жить на светеНе могу,1
130,Здравствуйте в общем вот,1
131,Здравствуйте мне  лет и мне стыдно за то что я не хочу жить у меня есть дочь  лет но я не знаю как дальше,1
132,Написала сейчас в Гугл  смысл жить если умрешь  и наткнулась на этот сайт Фантастика и Бинго не знала что есть такие сайты ,1
133,ПриветМне зовут Юля,1
134, Привет Меня зовут Маша  лет ,1
135,Здравствуйте Меня зовут Вадим И есть у меня девушка Маша Мы встречаемся уже  года и за это время видели о горе ,1
136,Вы когданибудь хотели чтобы у вас был второй шанс встретить когото снова в первый раз,1
137,Жизнь трудна и иногда хочется сдаться но самоубийство никогда не является ответом Все вы уникальны важны и любимы га,1
138,  Я часто думаю о суицидея не хочу жить,1
139,пишу не требуя сострадания не прошу жалеть так как сам себя не навижу и просто хочу исчезнуть Пишу по тому что потерял смысл жизни и цель в жизни ,1
140,Все началось когда мне было  лет,1
141,Помогите прошу вася не знаю что ,1
142,Пожалуйста  помогите мне  ,1
143,Я усталЖизнь перестала для меня чтото значитьЛюбимая жена перестала относиться ко мне как к личности слышу от неё только какой я плохой ,1
144,Вот как жить после этого Я уже писала свою историю  ,1
145,меня тошнит от вас DepressionSadPainдепрессиябольнетакойкаквсе Nt,1
146,Мысли о самоубийстве появились гдето год назад сначала я гнала их от себя мол что за глупости А теперь мне кажется что единственный выход,1
147,Друзья Братья Сестры как мне вас назвать Мне плохо Я одиночкаНеудачникЯ часто болеюболит сердце так нестерпимочто хочется умереть ,1
